Date,FIP,U3O8
1/10/2025,83.73,83.00
2/10/2025,82.53,81.75
3/10/2025,81.73,81.13
6/10/2025,79.18,81.00
7/10/2025,79.66,80.63
8/10/2025,78.21,79.88
9/10/2025,72.94,77.00
3/11/2025,81.39,82.13
4/11/2025,80.92,79.50
5/11/2025,74.83,79.25
6/11/2025,75.57,78.63
7/11/2025,73.97,77.50
1/12/2025,74.72,76.00
2/12/2025,74.46,76.00
3/12/2025,74.03,76.00
4/12/2025,74.77,76.25
5/12/2025,75.27,76.25
8/12/2025,76.31,76.25
9/12/2025,75.57,76.25
1/01/2026,80.53,81.75
2/01/2026,80.53,81.75
5/01/2026,81.89,82.00
6/01/2026,80.75,82.00
7/01/2026,80.63,82.00
8/01/2026,81.70,82.00
9/01/2026,81.71,82.00
2/02/2026,93.04,99.00
3/02/2026,90.46,94.00
4/02/2026,90.71,91.00
5/02/2026,86.36,86.00
6/02/2026,84.02,85.25
9/02/2026,85.48,86.00
2/03/2026,83.94,86.00
3/03/2026,86.89,86.50
4/03/2026,82.92,86.00
5/03/2026,83.33,86.00
6/03/2026,81.78,86.00
9/03/2026,82.52,85.75
1/04/2026,83.68,84.05
2/04/2026,84.33,85.00
3/04/2026,84.73,85.00
6/04/2026,84.73,85.00
7/04/2026,85.04,85.00
8/04/2026,81.88,85.00
9/04/2026,84.49,85.63
1/05/2026,86.83,86.13
4/05/2026,85.10,85.75
5/05/2026,84.13,85.75
6/05/2026,84.00,85.75
7/05/2026,85.14,85.88
8/05/2026,83.56,85.88
1/06/2026,82.27,85.17
2/06/2026,81.83,86.25
3/06/2026,83.86,86.25
4/06/2026,81.70,86.00
5/06/2026,81.20,86.00
8/06/2026,78.39,85.50
9/06/2026,77.56,85.50
1/07/2026,76.51,85.25
2/07/2026,76.85,85.63
3/07/2026,79.44,84.88
6/07/2026,79.73,84.88
7/07/2026,79.10,84.88
8/07/2026,76.49,84.88
9/07/2026,76.95,84.88
3/08/2026,75.34,86.50
4/08/2026,74.69,85.75
5/08/2026,77.58,86.20
6/08/2026,77.32,86.20
7/08/2026,81.24,86.50
27/07/2007,111.50,112.50
30/07/2007,111.50,112.50
31/07/2007,109.00,110.00
01/08/2007,109.00,110.00
02/08/2007,109.00,110.00
03/08/2007,108.22,110.00
07/08/2007,107.17,105.00
08/08/2007,106.77,100.00
09/08/2007,105.19,97.50
10/08/2007,104.24,97.50
13/08/2007,103.50,97.50
14/08/2007,102.02,97.50
15/08/2007,101.50,100.00
16/08/2007,100.75,95.00
17/08/2007,99.25,95.00
20/08/2007,98.52,87.50
21/08/2007,97.33,87.50
22/08/2007,96.67,87.50
23/08/2007,95.97,89.75
24/08/2007,95.17,90.25
27/08/2007,94.71,90.75
28/08/2007,90.83,91.25
29/08/2007,92.18,91.50
30/08/2007,90.55,91.50
31/08/2007,83.17,91.50
04/09/2007,84.48,90.00
05/09/2007,81.88,89.00
06/09/2007,83.29,88.50
07/09/2007,81.71,85.00
10/09/2007,80.08,85.00
11/09/2007,82.08,85.00
12/09/2007,83.50,80.00
13/09/2007,85.47,80.00
14/09/2007,88.54,80.00
17/09/2007,88.45,81.50
18/09/2007,90.07,81.50
19/09/2007,89.13,77.50
20/09/2007,89.59,80.00
21/09/2007,90.45,80.00
24/09/2007,88.20,80.00
25/09/2007,89.38,80.00
26/09/2007,94.23,77.00
27/09/2007,95.29,73.00
28/09/2007,92.87,70.00
01/10/2007,90.43,70.00
02/10/2007,88.84,69.00
03/10/2007,86.25,69.00
04/10/2007,87.52,70.00
05/10/2007,89.38,70.00
09/10/2007,91.21,70.50
10/10/2007,92.00,72.00
11/10/2007,90.38,76.00
12/10/2007,93.63,73.50
15/10/2007,99.40,73.50
16/10/2007,101.76,75.00
17/10/2007,102.12,75.00
18/10/2007,100.68,83.00
19/10/2007,100.43,83.00
22/10/2007,98.60,83.00
23/10/2007,102.44,83.00
24/10/2007,103.18,83.00
25/10/2007,104.61,82.00
26/10/2007,106.83,82.00
29/10/2007,108.42,84.00
30/10/2007,107.05,85.00
31/10/2007,116.17,87.00
01/11/2007,114.98,90.00
02/11/2007,116.43,90.00
05/11/2007,114.38,91.00
06/11/2007,114.12,93.00
07/11/2007,111.99,93.00
08/11/2007,109.31,93.00
09/11/2007,107.87,93.00
12/11/2007,100.14,93.00
13/11/2007,100.11,94.00
14/11/2007,98.02,94.00
15/11/2007,96.90,94.00
16/11/2007,96.48,94.00
19/11/2007,91.50,94.00
20/11/2007,95.18,93.50
21/11/2007,93.26,93.50
22/11/2007,92.75,94.50
23/11/2007,95.50,94.50
26/11/2007,93.68,94.00
27/11/2007,91.59,93.00
28/11/2007,96.66,91.00
29/11/2007,95.73,88.00
30/11/2007,95.14,88.00
03/12/2007,92.92,89.50
04/12/2007,91.14,89.50
05/12/2007,92.10,89.50
06/12/2007,94.83,89.50
07/12/2007,95.81,89.50
10/12/2007,96.40,89.00
11/12/2007,93.64,89.00
12/12/2007,93.56,89.00
13/12/2007,90.43,89.00
14/12/2007,88.33,89.00
17/12/2007,86.99,89.00
18/12/2007,87.26,88.00
19/12/2007,89.44,87.50
20/12/2007,89.22,87.00
21/12/2007,91.82,87.00
24/12/2007,91.83,87.00
27/12/2007,90.81,87.00
28/12/2007,91.70,87.00
31/12/2007,90.37,87.00
02/01/2008,91.41,87.00
03/01/2008,94.46,87.00
04/01/2008,91.75,88.00
07/01/2008,90.58,88.00
08/01/2008,92.05,88.00
09/01/2008,90.20,86.00
10/01/2008,89.99,84.00
11/01/2008,89.45,84.00
14/01/2008,90.27,84.00
15/01/2008,88.89,84.00
16/01/2008,85.41,84.00
17/01/2008,83.56,84.00
18/01/2008,83.80,84.00
21/01/2008,77.77,81.00
22/01/2008,79.37,78.50
23/01/2008,79.14,78.50
24/01/2008,81.04,78.50
25/01/2008,78.96,75.50
28/01/2008,78.56,75.50
29/01/2008,77.78,75.50
30/01/2008,75.42,75.50
31/01/2008,75.03,75.50
01/02/2008,77.27,75.00
04/02/2008,80.43,75.00
05/02/2008,77.90,75.00
06/02/2008,75.07,74.00
07/02/2008,76.17,73.50
08/02/2008,74.44,73.50
11/02/2008,73.88,73.50
12/02/2008,73.79,73.50
13/02/2008,73.95,73.50
14/02/2008,75.52,73.50
15/02/2008,78.47,73.50
19/02/2008,79.44,71.00
20/02/2008,78.59,71.00
21/02/2008,80.05,71.00
22/02/2008,81.83,71.00
25/02/2008,84.58,71.00
26/02/2008,85.92,71.00
27/02/2008,82.96,71.00
28/02/2008,89.92,73.00
29/02/2008,90.83,73.50
03/03/2008,90.11,73.50
04/03/2008,90.76,73.50
05/03/2008,92.37,73.50
06/03/2008,90.76,72.50
07/03/2008,89.53,72.50
10/03/2008,86.20,72.50
11/03/2008,86.09,72.50
12/03/2008,88.09,72.50
13/03/2008,90.43,72.50
14/03/2008,89.10,72.00
17/03/2008,87.25,70.50
18/03/2008,85.85,70.50
19/03/2008,82.61,70.00
20/03/2008,75.08,70.00
24/03/2008,77.60,70.00
25/03/2008,77.77,70.00
26/03/2008,68.76,69.50
27/03/2008,67.64,69.50
28/03/2008,66.02,67.50
31/03/2008,66.22,67.50
01/04/2008,65.49,67.50
02/04/2008,67.74,67.50
03/04/2008,67.23,67.50
04/04/2008,67.56,67.50
07/04/2008,65.29,67.50
08/04/2008,63.31,67.50
09/04/2008,63.93,67.50
10/04/2008,64.24,67.50
11/04/2008,63.23,67.50
14/04/2008,60.64,64.50
15/04/2008,60.86,64.50
16/04/2008,61.45,63.50
17/04/2008,59.87,63.50
18/04/2008,57.29,63.50
21/04/2008,58.42,62.00
22/04/2008,57.75,62.00
23/04/2008,59.60,62.00
24/04/2008,60.47,62.00
25/04/2008,61.99,62.00
28/04/2008,61.33,62.00
29/04/2008,59.37,62.00
30/04/2008,61.53,62.00
01/05/2008,60.49,62.00
02/05/2008,60.08,61.00
05/05/2008,60.50,61.00
06/05/2008,63.94,61.00
07/05/2008,65.29,61.00
08/05/2008,68.94,61.00
09/05/2008,67.86,61.00
12/05/2008,65.94,61.00
13/05/2008,66.07,59.50
14/05/2008,64.57,59.50
15/05/2008,64.98,59.50
16/05/2008,63.31,59.50
20/05/2008,67.55,59.50
21/05/2008,71.08,59.00
22/05/2008,73.30,59.00
23/05/2008,76.90,59.00
26/05/2008,75.71,59.00
27/05/2008,77.59,59.00
28/05/2008,75.40,59.00
29/05/2008,74.54,59.00
30/05/2008,75.32,58.00
02/06/2008,74.14,57.00
03/06/2008,74.04,57.00
04/06/2008,71.40,57.00
05/06/2008,69.99,57.00
06/06/2008,70.78,57.00
