material,Z,symbol,rho,k,cp
aluminum,13,al,2698.0,225.94,921
americium*,95,am,11700.0,12.552,126
antimony,51,sb,6696.0,18.41,207
arsenic_grey,33,as,5730.0,4.184,331
barium,56,ba,3500.0,33.472,188
berkelium*,97,bk,12000.0,12.552,126
beryllium,4,be,1848.0,184.1,1841
bismuth,83,bi,9750.0,8.368,121
boron,5,b,2500.0,2.092,1130
bromine,35,br,3100.0,0.122,460
cadmium,48,cd,8650.0,92.05,230
calcium,20,ca,1550.0,125.52,657
californium*,98,cf,12000.0,12.552,126
carbon_graphite,6,c,2250.0,167.36,707
cerium,58,ce,6790.0,10.878,193
cesium,55,cs,1870.0,41.84,230
cobalt,27,co,8860.0,84.935,423
copper,29,cu,8940.0,397.48,385
curium*,96,cm,7000.0,12.552,126
einsteinium*,99,es,12000.0,12.552,126
erbium,68,er,9060.0,9.623,168
europium*,63,eu,5300.0,12.552,176
fermium*,100,fm,12000.0,12.552,126
francium*,87,fr,12000.0,12.552,142
gadolinium,64,gd,7870.0,8.786,230
gallium,31,ga,5907.0,33.472,372
germanium,32,ge,5325.0,58.576,322
gold,79,au,19300.0,317.98,128
hafnium*,72,hf,13200.0,22.175,142
holmium,67,ho,8800.0,10.042,165
indium,49,in,7300.0,23.43,239
iodine_solid,53,i,4930.0,0.004,218
iridium,77,ir,22500.0,146.44,130
iron_0to3000degC,26,fe,7870.0,71.965,448
lanthanum,57,la,6200.0,13.807,193
lawrencium*,103,lr,12000.0,12.552,126
lead,82,pb,11350.0,34.309,130
lithium*,3,li,530.0,71.128,3515
magnesium,12,mg,1740.0,150.62,1004
manganese,25,mn,7400.0,6.694,481
mendelevium*,101,md,12000.0,12.552,126
mercury_liquid,80,hg,13500.0,8.368,138
molybdenum,42,mo,10200.0,133.89,247
neptunium,93,np,18000.0,12.552,126
nickel,28,ni,8900.0,87.864,444
niobium,41,nb,8570.0,50.208,268
nobelium*,102,no,12000.0,12.552,126
palladium,46,pd,11400.0,76.149,243
plutonium,94,pu,19200.0,8.201,134
polonium,84,po,9320.0,1.674,121
potassium,19,k,862.0,97.069,753
praseodymium,59,pr,6800.0,11.715,197
promethium*,61,pm,7200.0,12.552,188
radium*,88,ra,5000.0,12.552,113
rhenium,75,re,21000.0,60.668,138
rhodium,45,rh,12400.0,150.62,243
rubidium,37,rb,1500.0,50.208,377
ruthenium,44,ru,12200.0,104.6,234
samarium*,62,sm,7500.0,12.552,180
scandium*,21,sc,3000.0,12.552,552
selenium_grey,34,se,4790.0,0.753,322
silicon*,14,si,2330.0,125.52,703
silver,47,ag,10500.0,426.77,236
sodium,11,na,970.0,133.89,1213
strontium,38,sr,2600.0,83.68,301
sulfur,16,s,2000.0,0.276,711
tantalum,73,ta,16600.0,71.128,138
technicium*,43,tc,11500.0,12.552,243
tellurium,52,te,6240.0,3.347,201
terbium,65,tb,8250.0,8.368,182
thallium,81,tl,11850.0,38.911,130
thorium,90,th,11680.0,38.493,117
thulium,69,th,9300.0,8.368,160
tin,50,sn,7310.0,61.086,226
titanium,22,ti,4500.0,20.92,523
tungsten,74,w,19300.0,196.65,134
uranium,92,u,19100.0,26.443,117
vanadium,23,v,6100.0,30.794,460
ytterbium,70,yb,7000.0,8.368,149
yttrium*,39,y,4470.0,12.552,293
zinc,30,zn,7140.0,111.71,389
zirconium,40,zr,6500.0,31.38,285
